Problem Name	1	2	3	4	5	6	7	8	9	10	0intro
%(q1-red-h4)%	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.	Need more help? Greatest common factor of %(tar1)% and %(tot1)% is %(gcf1)%.
%(q1-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar1)%,%(tot1)%))%>."
%(q2-red-h1)%	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar2)%/%(tot2)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q2-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q2-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar2)% and %(tot2)% without any remainder."
%(q2-red-h4)%	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.	Need more help? Greatest common factor of %(tar2)% and %(tot2)% is %(gcf2)%.
%(q2-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar2)%,%(tot2)%))%>."
%(q3-red-h1)%	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar3)%/%(tot3)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q3-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q3-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar3)% and %(tot3)% without any remainder."
%(q3-red-h4)%	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.	Need more help? Greatest common factor of %(tar3)% and %(tot3)% is %(gcf3)%.
%(q3-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar3)%,%(tot3)%))%>."
%(q4-red-h1)%	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar4)%/%(tot4)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q4-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q4-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar4)% and %(tot4)% without any remainder."
%(q4-red-h4)%	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.	Need more help? Greatest common factor of %(tar4)% and %(tot4)% is %(gcf4)%.
%(q4-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."	"Try entering <%=fractionsimplify(fractionMake(%(tar4)%,%(tot4)%))%>."
